Website Path,Course Title,Location,Courses Values,Courses,Holes
https://foreupsoftware.com/index.php/booking/19640#/welcome,[Demo] Cayacoa Golf Course,"387 S 520 W Lindon, AL 84042 USA ","9055, 5523","9 Hole Test, New Tee Sheet [ID: 5523]","9, 18, Both"
https://foreupsoftware.com/index.php/booking/19466#/welcome,27 Hole Template Demo,"387 S 520 W Lindon, UT 84042 USA ",1695,Graveyard /Windmill,"9, 18"
https://foreupsoftware.com/index.php/booking/19015#/welcome,A.H. Blank Golf Course,"808 Country Line Road Des Moines, IA 50315 USA ",760,BLANK,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19469#/welcome,Aguila Golf Course,"8440 S. 35th Ave. Phoenix, AZ 85339 USA ",1704,Aguila Golf Course - 9 Hole,9
https://foreupsoftware.com/index.php/booking/19749#/welcome,Ashley Plantation Country Club,"919 Greenfield St Daleville, VA 24083 USA ",2391,Ashley Plantation,"9, 18"
https://foreupsoftware.com/index.php/booking/19717#/welcome,Babe Zaharias Golf Course,"3500 Jimmy Johnson Blvd Port Arthur, TX 77642 USA ",2254,Babe Zaharias,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19145#/welcome,Bailey Creek Golf Course,"433 Durkin Dr Lake Almanor, CA 96137 USA ",1173,Bailey Creek,
https://foreupsoftware.com/index.php/booking/19361#/welcome,Bangor Municipal Golf Course,"278 WEBSTER AVE BANGOR, ME 04401 USA ","1489, 1584","Championship Course, Kelly Nine",
https://foreupsoftware.com/index.php/booking/19436#/welcome,Benton Golf & Country Club,"P.O. Box 221 Benton, KY 42025 USA ",1626,Benton Golf & Country Club,
https://foreupsoftware.com/index.php/booking/19765#/welcome,BethPage State Park ," 99 Quaker Meeting House Road, Farmingdale, NY, 11735 USA","2431, 2433, 2434, 2432, 2435","Black course, Blue course, Green course, Red course, Yellow course",
https://foreupsoftware.com/index.php/booking/19417#/welcome,Bison Golf Club,"1 N. Bison Preserve Dr Show Low, AZ 85901 USA ","1595, 1594","Birdie Ranch at Silver Creek Golf Club, Bison Golf Club","9, 18, Both"
https://foreupsoftware.com/index.php/booking/19139#/welcome,Blue Heron Hills Golf,"One Country Club Drive Macedon, NY 14502 USA ",1150,The Club at Blue Heron Hills,"9, 18"
https://foreupsoftware.com/index.php/booking/19868#/welcome,Blue Ridge Shadows Golf Club,"456 Shadows Drive Front Royal, VA 22630 USA ",2781,Blue Ridge Shadows,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19354#/welcome,Blueberry Pines Golf Club,"39161 US Highway 71 Menahga, MN 56464 USA ",1486,Blueberry Pines,
https://foreupsoftware.com/index.php/booking/19643#/welcome,Bowen Island Golf Club,"810 Beach Drive Bowen Island, BC V0N 1G2 CA ",2026,BIGC,"9, 18"
https://foreupsoftware.com/index.php/booking/19105#/welcome,Brentwood Country Club,"100 Pennsylvania Ave Brentwood, NY 11717 USA ",957,Brentwood,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19228#/welcome,Bridgton Highlands Country Club,"Bridgton Highlands Country Club BRIDGTON, ME 04009 USA ","1300, 9112, 9116","Bridgton, New Tee Sheet, New Tee Sheet",
https://foreupsoftware.com/index.php/booking/19014#/welcome,Bright Grandview Golf Course,"2401 East 29th Street Des Moines, IA 50317 USA ",759,GRANDVIEW,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19062#/welcome,Broadview Golf Course,"5694 Headleys Mill Pataskala, OH 43062 USA ",855,Championship,
https://foreupsoftware.com/index.php/booking/19865#/welcome,Brookline Golf Course,"1281 West Roxbury Parkway Brookline, MA 02467 USA ",2748,Brookline,
https://foreupsoftware.com/index.php/booking/19611#/welcome,Brown's Run,"6855 Sloebig Rd. Middletown, OH 45042 USA ",2773,Brown's Run C.C.,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19835#/welcome,Bulle Rock Golf Course,"320 Blenheim Lane Havre de Grace, MD 21078 USA ",2598,Bulle Rock #1,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19768#/welcome,Buzzcity,"123 Bogle Lane Salisbury , NC 84603 USA ",2456,Buzzcity Golf,"9, 18"
https://foreupsoftware.com/index.php/booking/19511#/welcome,Cabeza de Toro,"Higuey 23000, Dominican Republic Punta Cana, Dominican Republic, La Altagracia JMQ2+VM USA ",3017,New Tee Sheet,
https://foreupsoftware.com/index.php/booking/19260#/welcome,Caledonia Golf Course,"9515 Golf Course Rd Fayetteville, PA 17222 USA ",1353,Caledonia Golf Course,"9, 18"
https://foreupsoftware.com/index.php/booking/19122#/welcome,Candlewick Lake,"13400 Hwy 76 Poplar Grove, IL 61065 USA ",2960,New Tee Sheet,
https://foreupsoftware.com/index.php/booking/19650#/welcome,Casselberry Golf Club,"300 S. Triplet Lake Drive Cassellberry, FL 32707 USA ",2084,Casselberry G.C.,"9, 18, Both"
https://foreupsoftware.com/index.php/booking/19653#/welcome,Causeway Club Demo,"7169 County Road O Erin, ME 84042 USA ","2115, 7506, 8851, 8067, 6573, 7184, 4293, 6503, 8066, 8140, 6405","Causeway Club, Mt. Hood, New Tee Sheet, PickleBall Courts, Pool Lessons, Sim Lesson, TP Country Club, Tennis Courts - Lower, putting green., shuttle, wingfield","9, 18, Both"
https://foreupsoftware.com/index.php/booking/19612#/welcome,Cedar Hill Golf Course,"1137 Park Street Stoughton, MA 02072 USA ",9365,New Tee Sheet,
https://foreupsoftware.com/index.php/booking/19013#/welcome,Cherokee County Country Club,"270 County Road 382 Centre, AL 35960 USA ",758,DAILY,
https://foreupsoftware.com/index.php/booking/19146#/welcome,Clarksville Country Club,"690 Private Road 7010 Clarksville , TX 75426 USA ",1175,Clarksville Country Club,
https://foreupsoftware.com/index.php/booking/19497#/welcome,Clifton Hollow Golf Club,"W12166 820th Avenue River Falls, WI 54022 USA ",1749,Clifton Hollow Golf Club,
https://foreupsoftware.com/index.php/booking/19770#/welcome,Clover Valley Golf Club,"8644 Johnstown Alexandria Road Johnstown, OH 43031 USA ","1391, 2457, 1390, 1389, 1376, 1377","Bent Tree (Ohio), Clover Valley, Glenross, Golf Club of Dublin, New Albany Links, Royal American","9, 18, Both"
